"Reading Date","1 am KWH Usage","2 am KWH Usage","3 am KWH Usage","4 am KWH Usage","5 am KWH Usage","6 am KWH Usage","7 am KWH Usage","8 am KWH Usage","9 am KWH Usage","10 am KWH Usage","11 am KWH Usage","12 pm KWH Usage","1 pm KWH Usage","2 pm KWH Usage","3 pm KWH Usage","4 pm KWH Usage","5 pm KWH Usage","6 pm KWH Usage","7 pm KWH Usage","8 pm KWH Usage","9 pm KWH Usage","10 pm KWH Usage","11 pm KWH Usage","12 pm KWH Usage","[touInquiry_download_Total_Tier_1_Consumption]","[touInquiry_download_Total_Tier_2_Consumption]"
"2025-12-27","3.810","3.040","2.900","3.820","2.810","4.020","2.920","3.560","3.110","2.880","2.410","2.780","2.000","2.550","2.010","2.050","1.940","2.550","2.480","3.020","3.350","2.650","3.110","3.790","0","69.56",
"2025-12-28","2.950","3.870","2.560","4.190","2.930","2.380","3.410","3.300","2.970","3.050","2.720","2.010","2.280","2.020","5.380","4.590","3.060","3.750","5.570","2.860","1.770","2.310","1.220","0.500","0","71.65",
"2025-12-29","0.360","2.530","1.470","2.050","1.600","2.570","4.000","3.100","2.210","2.500","1.820","3.330","1.890","2.370","1.680","2.180","2.350","1.860","1.680","2.180","3.140","4.420","2.880","0.360","0","54.53",
"2025-12-30","1.870","3.300","2.550","2.930","3.030","2.970","3.520","7.250","4.110","5.730","3.670","4.970","2.290","2.830","3.060","2.550","1.800","5.000","5.940","5.290","6.060","2.730","3.570","1.700","0","88.72",
"2025-12-31","2.820","2.520","4.090","2.870","2.470","3.460","4.460","12.010","5.180","4.520","4.800","2.540","2.590","3.160","2.600","2.640","2.520","3.500","1.300","3.610","3.420","2.860","2.190","0.930","0","83.06",
"2026-01-01","2.350","2.800","2.930","2.630","2.720","3.420","2.970","7.780","3.460","6.690","3.330","2.790","3.220","2.570","2.740","2.810","3.300","5.110","6.460","3.420","3.900","3.120","2.870","1.140","0","84.53",







,,,,,,,,,,,,,,,,,,,,,,,,,,,"*Note: Ontario's electricity system operates in Eastern Standard Time. Therefore, during Daylight Saving Time, the daily consumption values shown here may differ slightly from the billed amounts."
